Assembly	Level	WGS	BioSample	Strain	Taxonomy
GCA_001285825.1	Contig	CXZI00000000	SAMEA1466140	402048_aEPEC	Escherichia coli
GCA_001285805.1	Scaffold	CYBP00000000	SAMEA1466099	400998_aEPEC	Escherichia coli
GCA_001285785.1	Contig	CYEV00000000	SAMEA1531034	503023	Escherichia coli
GCA_001285765.1	Contig	CYCC00000000	SAMEA1466153	403096	Escherichia coli
GCA_001285745.1	Contig	CYAF00000000	SAMEA1466104	503662_aEPEC	Escherichia coli
GCA_001285725.1	Scaffold	CYCH00000000	SAMEA1466112	702745_aEPEC	Escherichia coli
GCA_001285705.1	Scaffold	CYET00000000	SAMEA1530984	402767	Escherichia coli
GCA_001285685.1	Scaffold	CYFL00000000	SAMEA1531029	G504540	Escherichia coli
GCA_001285665.1	Contig	CXZR00000000	SAMEA1466096	402099_aEPEC	Escherichia coli
GCA_001285645.1	Scaffold	CYDO00000000	SAMEA1531047	505148	Escherichia coli
GCA_001285625.1	Scaffold	CYCJ00000000	SAMEA1466177	202317_aEPEC	Escherichia coli
GCA_001285565.1	Scaffold	CYFH00000000	SAMEA1531012	G500407	Escherichia coli
GCA_001285525.1	Contig	CXZW00000000	SAMEA1466196	102298_aEPEC	Escherichia coli
GCA_001285505.1	Contig	CYCO00000000	SAMEA1466159	201191_aEPEC	Escherichia coli
GCA_001285465.1	Contig	CYCI00000000	SAMEA1466188	402743_aEPEC	Escherichia coli
GCA_001285445.1	Contig	CYEZ00000000	SAMEA1531033	302701	Escherichia coli
GCA_001285425.1	Contig	CYDC00000000	SAMEA1466192	202621_aEPEC	Escherichia coli
GCA_001285405.1	Contig	CYCE00000000	SAMEA1466194	100383_aEPEC	Escherichia coli
GCA_001285345.1	Contig	CYBH00000000	SAMEA1466168	200439_aEPEC	Escherichia coli
GCA_001285325.1	Scaffold	CYAP00000000	SAMEA1466118	402654_aEPEC	Escherichia coli
GCA_001285305.1	Scaffold	CYES00000000	SAMEA1531039	503256	Escherichia coli
GCA_001285285.1	Scaffold	CYEO00000000	SAMEA1531023	703753	Escherichia coli
GCA_001285265.1	Contig	CYBK00000000	SAMEA1466198	400714_aEPEC	Escherichia coli
GCA_001285245.1	Scaffold	CYDI00000000	SAMEA1530999	503331	Escherichia coli
GCA_001285225.1	Scaffold	CYAJ00000000	SAMEA1466203	202423_aEPEC	Escherichia coli
GCA_001285205.1	Scaffold	CYFP00000000	SAMEA1531046	G302551	Escherichia coli
GCA_001285185.1	Scaffold	CYBC00000000	SAMEA1466179	102485_aEPEC	Escherichia coli
GCA_001285365.1	Scaffold	CYFF00000000	SAMEA1531024	302302	Escherichia coli
GCA_001285145.1	Contig	CYBG00000000	SAMEA1466154	200135_aEPEC	Escherichia coli
GCA_001285125.1	Scaffold	CYAN00000000	SAMEA1466167	504925	Escherichia coli
GCA_001283145.1	Contig	CYAB00000000	SAMEA1466102	202453_aEPEC	Escherichia coli
GCA_001283545.1	Scaffold	CYCU00000000	SAMEA1466176	201488_aEPEC	Escherichia coli
GCA_001283525.1	Contig	CXZY00000000	SAMEA1466193	204263_aEPEC	Escherichia coli
GCA_001283665.1	Contig	CYBX00000000	SAMEA1466181	102010_aEPEC	Escherichia coli
GCA_001283645.1	Contig	CYAS00000000	SAMEA1466189	201534_aEPEC	Escherichia coli
GCA_001283585.1	Contig	CYFM00000000	SAMEA1531045	G503854	Escherichia coli
GCA_001283565.1	Scaffold	CYDS00000000	SAMEA1531032	700851	Escherichia coli
GCA_001283705.1	Contig	CYAD00000000	SAMEA1466171	204302_aEPEC	Escherichia coli
GCA_001283685.1	Scaffold	CYBS00000000	SAMEA1466101	402074_aEPEC	Escherichia coli
GCA_001283745.1	Contig	CYFO00000000	SAMEA1531022	G500007	Escherichia coli
GCA_001283725.1	Contig	CYBI00000000	SAMEA1466178	201214_aEPEC	Escherichia coli
GCA_001283785.1	Scaffold	CYFI00000000	SAMEA1531002	302700	Escherichia coli
GCA_001283765.1	Scaffold	CYCZ00000000	SAMEA1466146	200959_aEPEC	Escherichia coli
GCA_001283825.1	Contig	CXZV00000000	SAMEA1466190	403128	Escherichia coli
GCA_001283805.1	Scaffold	CYAR00000000	SAMEA1466144	504821_aEPEC	Escherichia coli
GCA_001283385.1	Scaffold	CYAO00000000	SAMEA1466150	500864_aEPEC	Escherichia coli
GCA_001283365.1	Contig	CYCS00000000	SAMEA1466160	503130_aEPEC	Escherichia coli
GCA_001283425.1	Contig	CYDB00000000	SAMEA1466201	500197_aEPEC	Escherichia coli
GCA_001283405.1	Contig	CYCB00000000	SAMEA1466156	402977	Escherichia coli
GCA_001283445.1	Contig	CYFN00000000	SAMEA1531019	700149	Escherichia coli
GCA_001283505.1	Contig	CYDP00000000	SAMEA1531042	505545	Escherichia coli
GCA_001283485.1	Contig	CYCX00000000	SAMEA1466166	201589_aEPEC	Escherichia coli
GCA_001283305.1	Scaffold	CYEW00000000	SAMEA1531025	501016	Escherichia coli
GCA_001283285.1	Contig	CYEQ00000000	SAMEA1531037	302082	Escherichia coli
GCA_001283265.1	Scaffold	CYBB00000000	SAMEA1466114	703258_aEPEC	Escherichia coli
GCA_001283165.1	Scaffold	CXZG00000000	SAMEA1466172	200781_aEPEC	Escherichia coli
GCA_001277775.1	Scaffold	CYBT00000000	SAMEA1466139	401938_aEPEC	Escherichia coli
GCA_001277755.1	Contig	CYCG00000000	SAMEA1466138	401174_aEPEC	Escherichia coli
GCA_001277735.1	Contig	CXZH00000000	SAMEA1466137	202973_aEPEC	Escherichia coli
GCA_001277715.1	Scaffold	CYBO00000000	SAMEA1466136	401596_aEPEC	Escherichia coli
GCA_001277695.1	Contig	CYAV00000000	SAMEA1466135	503225_aEPEC	Escherichia coli
GCA_001277675.1	Contig	CXZX00000000	SAMEA1466134	100269_aEPEC	Escherichia coli
GCA_001277655.1	Scaffold	CYAI00000000	SAMEA1466133	503537_aEPEC	Escherichia coli
GCA_001277635.1	Scaffold	CYGS00000000	SAMEA1466132	200708_aEPEC	Escherichia coli
GCA_001277615.1	Scaffold	CYBZ00000000	SAMEA1466131	504005_aEPEC	Escherichia coli
GCA_001277595.1	Contig	CXZK00000000	SAMEA1466130	300795_aEPEC	Escherichia coli
GCA_001277575.1	Contig	CYAG00000000	SAMEA1466129	503311	Escherichia coli
GCA_001277555.1	Contig	CXZT00000000	SAMEA1466128	504647_aEPEC	Escherichia coli
GCA_001277535.1	Scaffold	CYAQ00000000	SAMEA1466127	503028_aEPEC	Escherichia coli
GCA_001277515.1	Scaffold	CYBR00000000	SAMEA1466126	401886_aEPEC	Escherichia coli
GCA_001277495.1	Contig	CYCF00000000	SAMEA1466125	200456_aEPEC	Escherichia coli
GCA_001277475.1	Scaffold	CYCW00000000	SAMEA1466124	401117_aEPEC	Escherichia coli
GCA_001277455.1	Contig	CXZD00000000	SAMEA1466123	505393_aEPEC	Escherichia coli
GCA_001277435.1	Contig	CYAE00000000	SAMEA1466122	100554_aEPEC	Escherichia coli
GCA_001277415.1	Contig	CXZE00000000	SAMEA1466121	602370_aEPEC	Escherichia coli
GCA_001277395.1	Contig	CYCY00000000	SAMEA1466120	402058_aEPEC	Escherichia coli
GCA_002206745.1	Scaffold	BDRW00000000	SAMEA1531069	2981sc	Escherichia coli
GCA_002206725.1	Contig	BDRV00000000	SAMEA1531067	509sc	Escherichia coli
GCA_002206705.1	Contig	BDRU00000000	SAMEA1530989	710sc	Escherichia coli
GCA_002206685.1	Scaffold	BDRT00000000	SAMEA1530987	621sc	Escherichia coli
GCA_002206665.1	Contig	BDRS00000000	SAMEA1530979	811sc	Escherichia coli
GCA_001285385.2	Contig	CYEC00000000	SAMEA1531070	702971	Escherichia coli
GCA_001286265.2	Scaffold	CYEK00000000	SAMEA1531065	402605	Escherichia coli
GCA_001284965.2	Scaffold	CYED00000000	SAMEA1531062	702797	Escherichia coli
GCA_001283245.2	Scaffold	CYEJ00000000	SAMEA1531060	300073	Escherichia coli
GCA_001285545.2	Scaffold	CYEI00000000	SAMEA1531058	703273	Escherichia coli
GCA_001283225.2	Scaffold	CYEB00000000	SAMEA1531055	402837	Escherichia coli
GCA_001284685.2	Contig	CYEH00000000	SAMEA1531054	103151	Escherichia coli
GCA_001283205.2	Scaffold	CYEF00000000	SAMEA1531052	402898	Escherichia coli
GCA_001284145.2	Scaffold	CYEE00000000	SAMEA1531036	200696	Escherichia coli
GCA_001283605.2	Scaffold	CYDQ00000000	SAMEA1531035	602206	Escherichia coli
GCA_001285925.2	Scaffold	CYEG00000000	SAMEA1531028	703128	Escherichia coli
GCA_001285585.2	Scaffold	CYDX00000000	SAMEA1531016	400896	Escherichia coli
GCA_001283625.2	Scaffold	CYEL00000000	SAMEA1531014	401686	Escherichia coli
GCA_001284645.2	Scaffold	CYEP00000000	SAMEA1531007	401907	Escherichia coli
GCA_001283865.2	Scaffold	CYDW00000000	SAMEA1531001	401363	Escherichia coli
GCA_001286065.2	Scaffold	CYDU00000000	SAMEA1531000	200232	Escherichia coli
GCA_001286345.2	Scaffold	CYDY00000000	SAMEA1530992	402403	Escherichia coli
GCA_001284165.2	Scaffold	CYDZ00000000	SAMEA1530991	402078	Escherichia coli
GCA_001283905.2	Scaffold	CYEA00000000	SAMEA1530988	402798	Escherichia coli
GCA_001283345.2	Scaffold	CYEM00000000	SAMEA1530982	402696	Escherichia coli

